一切	hVX OMS
受虐	ZyB gpf
受訓	ZyB iXu
受託	ZyB FqT
受訪	ZyB BpO
受賄	ZyB iSh
叛亂	CcC Ici
叛逆	CcC gsb
叢林	PAA I1Q
口吻	ezB DXN
口味	ezB DIO
口岸	ezB gcS
口感	ezB d2R
口水	ezB aGh
口琴	ezB f1Y
口碑	ezB AFI
口福/口腹	ezB ABP
口紅	ezB jAA
口罩	ezB JjS
口腔	ezB eEA
口袋	ezB GTS
口角	ezB dED
口訣	ezB dfj
口述	ezB bVj
口音	ezB h1Y
叩頭/口頭	ezB GzA
古人	dLB cVQ
古代	dLB GTS
古典	dLB EfR
古塔	dLB F3T
古墓	dLB DLC
古板	dLB AdB
古物	dLB DXP
古玩	dLB gci
古琴	dLB f1Y
古箏	dLB StQ
古籍	dLB PuT
古老	dLB IkR
古舊	dLB fyO
古董	dLB EAB
古裝	dLB SpQ
古詩	dLB aHQ
古蹟	dLB NuT
召開	LiS eTQ
召集	LiS P1T
可人	elR cVQ
可以	elR lHR
可信	elR QVS
可口	elR ezB
可悲	elR AGI
可惜	elR QuT
可愛	elR hTS
可憐	elR IfQ
可是	elR ZFR
可疑	elR gHc
可謂	elR kIu
可靠	elR ekS
史前	VHR PfQ
史學	VHR jED
史實	VHR bVT
史籍	VHR PuT
司儀	QHQ gFY
司機	QHQ dIc
司法	QHQ A9P
各個	dqT dlS
各自	dqT PGS
吉利	dVX IGS
吉祥	dVX RpQ
同一	GAA hVX
同化	GAA ini
同學	GAA jED
同年/童年	GAA HfQ
同志	GAA XHS
同性	GAA QuS
同情	GAA PuQ
同意	GAA hHe
同時	GAA ZHQ
同期	GAA fHc
同業	GAA g8f
同步	GAA CLC
同等	GAA ExR
同鄉	GAA ipc
同類	GAA IGi
名人	DuE cVQ
名冊	DuE TtT
名利	DuE IGS
名城	DuE ZuQ
名堂	DuE GqQ
名字	DuE PHS
名家	DuE dnQ
名山	DuE VeQ
名師	DuE VGQ
名流	DuE IyA
名片	DuE BfC
名義	DuE gFa
名詞	DuE RHQ
名額	DuE grT
君主	dXs XKh
君子	dXs NHR
吝嗇	IVS VwT
含意	j2Q hHe
含義	j2Q gFa
吸引	i1b lVR
吸管	i1b dch
吸納	i1b H2T
吸附	i1b CKO
呢喃	MGQ M6Q
周全	XyA Pgg
周會	XyA jOi
周遊	XyA lyA
味精	DIO NuQ
味道	DIO GkR
呼吸	iLA i1b
呼喚	iLA ici
呼救	iLA dyO
呼籲	iLA lKi
命名	DsK DuE
命案	DsK hcS
命運	DsK kXu
咆哮	CjA ijQ
咨詢	NGQ QVg
咫尺	XFR YuT
哀愁	hTQ UyA
品味	B1J DIO
品嘗	B1J ZpQ
品德	B1J ExT
品性	B1J QuS
品類	B1J IGi
員工	kXs dAA
哥哥	dlQ dlQ
哭泣	eAD e1b
哭訴	eAD QLC
哮喘	ijQ Ygh
哲學	JgT jED
哲理	JgT IHR
哺乳	CLC cKh
唐樓	GqQ IzA
唐突	GqQ Gaj
售價	ZyC dnS
售罄	ZyC evS
售賣	ZyC DPC
唱功	YpS dAA
唱曲	YpS eDP
唱機	YpS dIc
唱歌	YpS dlQ
唱片	YpS BfC
唱腔	YpS eEA
唾沫	Fli DcD
商人	apQ cVQ
商務	apQ DKO
商品	apQ B1J
商場	apQ LpQ
商家	apQ dnQ
商店	apQ E5S
商旅	apQ IJR
商會	apQ jOi
商業	apQ g8f
商機	apQ dIc
商界	apQ dQS
商船	apQ bgg
商談	apQ G3Q
商販	apQ AZO
商貿	apQ DzC
問鼎	DXO EvR
善心	ZgR Q1Q
善本	ZgR AaB
善款	ZgR ech
善良	ZgR IpQ
喉嚨	jzA IAA
喉頭	jzA GzA
喘息	Ygh QwT
喚起	ici eHd
喜劇	iHd fsb
喜宴	iHd hfS
喜悅	iHd lgj
喜愛	iHd hTS
喜慶	iHd esa
喜歡	iHd icg
嘈雜	PkQ P2T
嘉許	dnQ iJd
嘗試	ZpQ aHS
嘮叨	KjQ FkQ
嘲諷	JjQ ABO
噁心	hLC Q1Q
器官	eGa dcg
器材	eGa PTQ
器皿	eGa DsJ
嚴厲	g8c INS
嚴密	g8c DVL
嚴寒	g8c jcQ
嚴峻	g8c QVi
嚴懲	g8c LwQ
嚴肅	g8c QBD
嚴苛	g8c jlQ
嚴謹	g8c dYd
囊括	HqQ dcj
囚犯	RyA C9N
四周	QGS XyA
四季	QGS dGm
四時	QGS ZHQ
四肢	QGS XFQ
四面	QGS DgG
回來	jSg ITQ
回升	jSg awQ
回味	jSg DIO
回報	jSg AkC
回憶	jSg hwf
回暖	jSg Hch
回歸	jSg dIs
回流	jSg IyA
回程	jSg LuQ
回答	jSg E2T
回落	jSg IqT
回響	jSg ipd
回頭	jSg GzA
回顧	jSg dLC
回饋	jSg fGq
因循	hVU RVg
因果	hVU dlh
因此	hVU OFR
因由	hVU lyA
因素	hVU QLC
因緣/姻緣	hVU lgg
因而	hVU cHQ
困境	eai dsZ
困惑	eai jxj
困擾	eai ciR
困窘	eai fVp
困頓	eai Eai
固執	dLC X1T
固定	dLC GvS
固態	dLC FTS
固有	dLC kyN
固然	dLC cgQ
固體	dLC FMR
國務	dxj DKO
國境	dxj dsZ
國學	dxj jED
國家	dxj dnQ
國寶	dxj AkB
國庫	dxj eLC
國情	dxj PuQ
國慶	dxj esa
國會	dxj jOi
國有	dxj kyN
國歌	dxj dlQ
國民	dxj DVE
國營	dxj lug
國界	dxj dQS
國立	dxj I1T
國籍	dxj PuT
國粹	dxj QGi
國道	dxj GkR
國際	dxj NNS
園地	kZs GGS
園藝	kZs gNW
圓形	kgo jvQ
圓滿	kgo DcB
圓潤	kgo cVi
圓盤	kgo CcA
圖形	GLA jvQ
圖書	GLA aJQ
圖案	GLA hcS
圖片	GLA BfC
圖章	GLA XpQ
圖紙	GLA XFR
圖騰	GLA GxQ
團員	Gcg kXs
團圓	Gcg kgo
團結	Gcg dfT
團隊	Gcg GSi
團體	Gcg FMR
地主	GGS XKh
地位	GGS kGq
地勢	GGS aNS
地勤	GGS fYc
地名	GGS DuE
地圖	GGS GLA
地址	GGS XHR
地域	GGS kwr
地基	GGS dHc
地層	GGS PxQ
地帶	GGS EOS
地形	GGS jvQ
地支	GGS XFQ
地板	GGS AdB
地步	GGS CLC
地段	GGS Gci
地毯	GGS F3R
地獄	GGS gDP
地球	GGS fyM
地理	GGS IHR
地皮	GGS CFI
地盤	GGS CcA
地租	GGS NLA
地表	GGS AiJ
地貌	GGS DjC
地道	GGS GkR
地鐵	GGS FfT
地震	GGS XVS
地面	GGS DgG
地點	GGS E5R
均勻	dVk lVg
均衡	dVk jrQ
坑人	erQ cVQ
坦克	FcR exT
坦承	FcR ZwQ
坦然	FcR cgQ
坦言	FcR gZc
坦誠	FcR ZuQ
垂死	ZFg QGR
垂淚	ZFg IGi
垂直	ZFg LwT
垂老	ZFg IkR
垂釣	ZFg EhS
埋葬	DQA NqS
城堡	ZuQ AkB
城市	ZuQ ZHR
城牆	ZuQ PpQ
城鄉	ZuQ ipc
城門	ZuQ DaA
執導	X1T GkS
執掌	X1T XpR
執業	X1T g8f
執照	X1T XiS
執筆	X1T AVL
基因	dHc hVU
基地	dHc GGS
基層	dHc PxQ
基建	dHc dZe
基本	dHc AaB
基石	dHc ZuT
基礎	dHc TJR
基金	dHc d1Y
基點	dHc E5R
堂兄	GqQ iso
堂妹	GqQ DSC
堂姐	GqQ NoR
堂皇	GqQ jqg
堅固	dfQ dLC
堅定	dfQ GvS
堅實	dfQ bVT
堅強	dfQ fpc
堅忍	dfQ cVR
堅持	dfQ LHQ
堅毅	dfQ gIe
堅硬	dfQ gtS
堅貞	dfQ JuQ
堆砌	ESg OMS
堡壘	AkB IGh
報價	AkC dnS
報刊	AkC ecQ
報名	AkC DuE
報失	AkC aVT
報應	AkC hwe
報時	AkC ZHQ
報案	AkC hcS
報稅	AkC aNi
報章	AkC XpQ
報紙	AkC XFR
報表	AkC AiJ
報警	AkC dsZ
報道	AkC GkR
報酬	AkC ZyA
報關	AkC ddg
報館	AkC dci
場地	LpQ GGS
場所	LpQ VJR
場景	LpQ dsZ
場次	LpQ OGS
場面	LpQ DgG
場館	LpQ dci
塑像	QLC RpR
塵埃	LVQ hTQ
境地	dsZ GGS
境界	dsZ dQS
墓地	DLC GGS
墓碑	DLC AFI
墓穴	DLC jfj
墓葬	DLC NqS
墨跡	DxD NuT
墨鏡	DxD dsa
墨魚	DxD gJc
壁虎	AvD iLB
壓制	h7T XNS
壓力	h7T IwT
壓抑	h7T hwb
壓榨	h7T SnS
壓縮	h7T VBD
壓迫	h7T ArD
壕溝	jkQ dzA
壘球	IGh fyM
士兵	UHR AsI
壯年	SpS HfQ
壯舉	SpS dJd
壯闊	SpS ecj
夕陽	RuT lpQ
外交	gOi djQ
外人	gOi cVQ
外來	gOi ITQ
外公	gOi dAA
外力	gOi IwT
外勤	gOi fYc
外商	gOi apQ
外國	gOi dxj
外地	gOi GGS
外形/外型	gOi jvQ
外婆	gOi ClA
外幣	gOi CNG
外界	gOi dQS
外籍	gOi PuT
外表	gOi AiJ
外貌	gOi DjC
外貿	gOi DzC
外資	gOi NGQ
外遇	gOi gKu
外邊	gOi AfA
外銷	gOi QiQ
外面	gOi DgG
多元	ElQ gZs
多謝	ElQ RoS
多餘	ElQ lJQ
多麼	ElQ DlB
夜宵	loS QiQ
夜幕	loS DqD
夜晚	loS DZN
夜色	loS VwT
夜間	loS deS
天亮	FfQ IpS
天倫	FfQ IVg
天地	FfQ GGS
天堂	FfQ GqQ
天子	FfQ NHR
天帝	FfQ EMS
天性	FfQ QuS
天意	FfQ hHe
天才	FfQ PTQ
天文	FfQ DXM
天明	FfQ DsI
天時	FfQ ZHQ
天橋	FfQ fiY
天機	FfQ dIc
天淵	FfQ hfg
天災	FfQ NTQ
天然	FfQ cgQ
天理	FfQ IHR
天生	FfQ VsQ
天空	FfQ eAA
天籟	FfQ IOS
天職	FfQ XwT
天花	FfQ ing
天賦	FfQ AKO
天際	FfQ NNS
天體	FfQ FMR
天鵝	FfQ glQ
太太	FOS FOS
太極	FOS fwf
太空	FOS eAA
太陽	FOS lpQ
央求	hpc fyM
失主	aVT XKh
失修	aVT QyA
失利	aVT IGS
失地	aVT GGS
失實	aVT bVT
失常	aVT ZpQ
失意	aVT hHe
失戀	aVT Igi
失手	aVT ayB
失明	aVT DsI
失業	aVT g8f
失眠	aVT DfA
失禮	aVT IMR
失竊	aVT OfT
失職	aVT XwT
失色	aVT VwT
失落	aVT IqT
失衡	aVT jrQ
失誤	aVT gLC
失蹤	aVT NDA
夾擊	d6T dvT
夾道	d6T GkR
奉命	CDN DsK
奉陪	CDN CSA
奏效	NzC jjS
奢侈	aoQ YFR
奢靡	aoQ DFJ
奪得	Gcj ExT
奪目	Gcj DBP
奮力	AXO IwT
奮發	AXO AZP
奮鬥	AXO EzC
奴婢	HLA CFF
奴隸	HLA IMS
妄想	DpO QpR
妒忌	ELC fHe
妙齡	DiG IvQ
妥協	Flh j5T
妥善	Flh ZgR
妥貼	Flh F5T
妹妹	DSC DSC
姆指	DzC XGR
始祖	aHR NLB
始終	aHR XBA
姐妹	NoR DSC
姐姐	NoR NoR
姑丈	dLA LpR
姑娘	dLA MpQ
姑息	dLA QwT
姑母	dLA DzB
姓名	QuS DuE
姥姥/媽媽	DLB DLB
姨媽	lGQ DLB
姿勢	NGQ aNS
姿態	NGQ FTS
威信	hIs QVS
威力	hIs IwT
威嚴	hIs g8c
娃娃	hPQ hPQ
娟秀	hgk QyC
婆婆	ClA ClA
婚姻	iag hVU
婚嫁	iag dnS
婚宴	iag hfS
婚禮	iag IMR
婚紗	iag VnQ
媒介	DSA dQS
媒體	DSA FMR
媲美	BMC DGJ
嫁妝	dnS SpQ
嫉妒	PVT ELC
嫌棄	j5Q eGW
嫌疑	j5Q gHc
嫣紅	hgY jAA
嫵媚	DKN DGK
嬋娟	ZgQ hgk
嬰孩	huU jTQ
子夜	NHR loS
子孫	NHR Qag
子宮	NHR dBM
孔廟	eAB DiK
孔教	eAB djS
孔雀	eAB NpT
孕婦	lwS CyN
字帖	PHS F5T
字幕	PHS DqD
字形	PHS jvQ
字條	PHS GhQ
字母	PHS DzB
字眼	PHS geR
字詞	PHS RHQ
字跡	PHS NuT
字音	PHS h1Y
字體	PHS FMR
存心	Pag Q1Q
存檔	Pag EqQ
存款	Pag ech
存貨	Pag ili
孝子	ijS NHR
孝敬	ijS dsa
季刊	dGm ecQ
季節	dGm NfT
季軍	dGm dXs
孤寂	dLA PvT
孤獨	dLA GAD
孤立	dLA I1T
孩子	jTQ NHR
孩童	jTQ GAA
孫子	Qag NHR
孵化	BKM ini
學位	jED kGq
學制	jED XNS
學員	jED kXs
學問	jED DXO
學堂	jED GqQ
學士	jED UHR
學子	jED NHR
學年	jED HfQ
學府	jED AKN
學徒	jED GLA
學期	jED fHc
學業	jED g8f
學歷	jED IvT
學派	jED BPC
學童	jED GAA
學習	jED R1T
學者	jED XoR
學術	jED bVj
宇宙	kKt LyC
宇航	kKt jqQ
安全	hcQ Pgg
安定	hcQ GvS
安寧	hcQ HvQ
安心	hcQ Q1Q
安息	hcQ QwT
安慰	hcQ hIu
安排	hcQ CQA
安撫	hcQ BKN
安然	hcQ cgQ
安穩	hcQ hah
安置	hcQ JHS
安葬	hcQ NqS
安裝	hcQ SpQ
安逸	hcQ lVT
安靜	hcQ PuR
安頓	hcQ Eai
完備	jcg CGK
完全	jcg Pgg
完善	jcg ZgR
完成	jcg ZuQ
完整	jcg XuR
完滿	jcg DcB
完畢	jcg AVH
完結	jcg dfT
完美	jcg DGJ
宏偉	jtg kIt
宏揚	jtg lpQ
宏願	jtg gZu
宗師	NCA VGQ
宗族	NCA PAD
宗旨	NCA XGR
官兵	dcg AsI
官司	dcg QHQ
官吏	dcg IHS
官員	dcg kXs
官場	dcg LpQ
官邸	dcg EMR
宜人	gFY cVQ
客串	erT ddi
客人	erT cVQ
客廳	erT FvQ
客機	erT dIc
客船	erT bgg
客輪	erT IVg
客運	erT kXu
宣判	Qgg BcC
宣揚	Qgg lpQ
宣紙	Qgg XFR
宣言	Qgg gZc
宣誓	Qgg ZNS
室溫	aVT hag
害羞	jOS QyA
家人	dnQ cVQ
家務	dnQ DKO
家園	dnQ kZs
家境	dnQ dsZ
家屬	dnQ ZDD
家常	dnQ ZpQ
家庭	dnQ GvQ
家族	dnQ PAD
家眷	dnQ dgq
家禽	dnQ f1Y
家計	dnQ dMS
家鄉	dnQ ipc
家門	dnQ DaA
容器	lDA eGa
容納	lDA H2T
容許	lDA iJd
容貌	lDA DjC
寂寞	PvT DqD
寂靜	PvT PuR
寄存	dFa Pag
寄生	dFa VsQ
寄託	dFa FqT
密切	DVL OfT
密碼	DVL DnB
密集	DVL P1T
富商	AyO apQ
富有	AyO kyN
富裕	AyO lKi
富豪	AyO jkQ
富貴	AyO dIu
寒意	jcQ hHe
寒暄	jcQ iZs
寒流	jcQ IyA
寓意	gKu hHe
寓所	gKu VJR
寡婦	dnh CyN
寡頭	dnh GzA
寢室	O1R aVT
實例	bVT INS
實力	bVT IwT
實務	bVT DKO
實地	bVT GGS
實情	bVT PuQ
實物	bVT DXP
實現	bVT jfS
實用	bVT lDC
實習	bVT R1T
實證	bVT XwS
實踐	bVT PgR
實際	bVT NNS
實驗	bVT g4a
實體	bVT FMR
寧靜	HvQ PuR
審判	a1R BcC
審批	a1R BMA
審結	a1R dfT
審美	a1R DGJ
審計	a1R dMS
審訊	a1R QVS
審議	a1R gFa
審閱	a1R lgj
寫實	QoR bVT
寫意	QoR hHe
寫法	QoR A9P
寫照	QoR XiS
寫生	QoR VsQ
寬容	ecg lDA
寬恕	ecg aJS
寬裕	ecg lKi
寬闊	ecg ecj
寬限	ecg jeR
寬頻	ecg CVE
寮屋	IhQ hAD
寵愛	KDB hTS
寵物	KDB DXP
寶寶	AkB AkB
寶座	AkB Pli
寶玉	AkB gDP
寶石	AkB ZuT
寶貝	AkB AOC
寶貴	AkB dIu
寺廟	RHS DiK
專人	Xgg cVQ
專利	Xgg IGS
專制	Xgg XNS
專員	Xgg kXs
專家	Xgg dnQ
專心	Xgg Q1Q
專政	Xgg XuS
專案	Xgg hcS
專業	Xgg g8f
專櫃	Xgg fGq
專欄	Xgg IcQ
專注	Xgg XKi
專營	Xgg lug
專用	Xgg lDC
專線	Xgg QgS
專訪	Xgg BpO
專責	Xgg StT
專賣	Xgg DPC
專輯	Xgg P1T
專門	Xgg DaA
專項	Xgg jEB
尊嚴	Nag g8c
尊崇	Nag UBA
尊敬	Nag dsa
尊貴	Nag dIu
尋常	R1Q ZpQ
尋求	R1Q fyM
尋獲	R1Q jtj
尋覓	R1Q DvD
對付	ESi AKO
對壘	ESi IGh
對外	ESi gOi
對峙	ESi LHR
對待	ESi GTR
對手	ESi ayB
對流	ESi IyA
對照	ESi XiS
對白	ESi CrD
對立	ESi I1T
對話	ESi jRi
對談	ESi G3Q
對象	ESi RpR
對面	ESi DgG
導師	GkS VGQ
導演	GkS lgR
導管	GkS dch
導致	GkS JGS
導言	GkS gZc
導讀	GkS GAD
導遊	GkS lyA
小丑	QiR KyB
小人	QiR cVQ
小兒	QiR cFQ
小品	QiR B1J
小型	QiR jvQ
小姐	QiR NoR
小子	QiR NHR
小學	QiR jED
小巴	QiR AnA
小心	QiR Q1Q
小時	QiR ZHQ
小組	QiR NLB
小腿	QiR FSh
小販	QiR AZO
小麥	QiR DtD
尖叫	N4Q dhS
尖端	N4Q Ecg
就地	PyC GGS
就學	PyC jED
就寢	PyC O1R
就是	PyC ZFR
就業	PyC g8f
就此	PyC OFR
就算	PyC Qch
就範	PyC C9N
就緒	PyC RJR
就讀	PyC GAD
就醫	PyC hHc
尺子	YuT NHR
尺碼	YuT DnB
尼姑	MGQ dLA
尾巴	DIN AnA
尾聲	DIN auQ
尿液	HhS luT
局勢	fDP aNS
局限	fDP jeR
局面	fDP DgG
屁股	BGG dLB
屆時	dQS ZHQ
屆滿	dQS DcB
屋子	hAD NHR
屋宇	hAD kKt
屋脊	hAD NuT
屋頂	hAD EvR
展位	JgR kGq
展品	JgR B1J
展期	JgR fHc
展現	JgR jfS
展覽	JgR I3R
展銷	JgR QiQ
展開	JgR eTQ
展露	JgR ILC
展館	JgR dci
層次	PxQ OGS
層面	PxQ DgG
履歷	IGR IvT
屬性	ZDD QuS
山丘	VeQ eyM
山地	VeQ GGS
山坡	VeQ BlA
山城	VeQ ZuQ
山巒	VeQ Icg
山村	VeQ Oag
山楂	VeQ UnQ
山水	VeQ aGh
山火	VeQ ilh
山路	VeQ ILC
山頭	VeQ GzA
屹立	gYf I1T
岳母	gED DzB
峻峭	QVi OiS
崇拜	UBA AQC
崗位	dqQ kGq
崛起	fXv eHd
崩潰	AxA jSi
巡禮	RVg IMR
巡遊	RVg lyA
巡邏	RVg IlS
工人	dAA cVQ
工具	dAA fKu
工匠	dAA PpS
工地	dAA GGS
工時	dAA ZHQ
工業	dAA g8f
工程	dAA LuQ
工藝	dAA gNW
工資	dAA NGQ
左手	NlR ayB
左邊	NlR AfA
巨人	fJd cVQ
巨匠	fJd PpS
巨型	fJd jvQ
巨星	fJd QvQ
巨款	fJd ech
巨變	fJd AgK
巨響	fJd ipd
巨頭	fJd GzA
巴士	AnA UHR
市井	ZHR NuR
市價	ZHR dnS
市場	ZHR LpQ
市容	ZHR lDA
市政	ZHR XuS
市民	ZHR DVE
市郊	ZHR djQ
市集	ZHR P1T
市面	ZHR DgG
帝國	EMS dxj
師傅	VGQ AKO
師兄	VGQ iso
師妹	VGQ DSC
師姐	VGQ NoR
師徒	VGQ GLA
師範	VGQ C9N
師資	VGQ NGQ
帳篷	JpS CAA
帶動	EOS GAB
帶子	EOS NHR
帶領	EOS IuR
帶頭	EOS GzA
常務	ZpQ DKO
常年	ZpQ HfQ
常態	ZpQ FTS
常理	ZpQ IHR
常規	ZpQ dFk
常駐	ZpQ JKi
帽子	DkC NHR
幌子	jqh NHR
幕牆	DqD PpQ
幣值	CNG LHS
幣制	CNG XNS
幫助	AqA UJS
幫忙	AqA DqA
干擾	dcQ ciR
干預	dcQ lJS
年代	HfQ GTS
年份	HfQ AVI
年初	HfQ TJQ
年夜	HfQ loS
年尾	HfQ DIN
年幼	HfQ h0W
年底	HfQ EMR
年息	HfQ QwT
年曆	HfQ IvT
年紀	HfQ dHd
年級	HfQ d1b
年終	HfQ XBA
年老	HfQ IkR
年薪	HfQ QVQ
年表	HfQ AiJ
年貨	HfQ ili
年資	HfQ NGQ
年輪	HfQ IVg
年邁	HfQ DRC
年間	HfQ deS
年齡	HfQ IvQ
幸免	jtR DgJ
幸福	jtR ABP
幸而	jtR cHQ
幸虧	jtR eFo
幸運	jtR kXu
幹線	dcS QgS
幹練	dcS IfS
幻化	jei ini
幻影	jei hsZ
幻想	jei QpR
幻滅	jei DgH
幻燈	jei ExQ
幻象	jei RpR
幼年	h0W HfQ
幼稚	h0W LGS
幼苗	h0W DiI
幽暗	h0U h2S
幽雅	h0U gnR
幽靈	h0U IvQ
幽香	h0U ipc
幽默	h0U DxD
庇佑	AGG kyO
庇護	AGG jLC
床頭	UpQ GzA
序列	RJR IgT
序幕	RJR DqD
序曲	RJR eDP
底層	EMR PxQ
底片	EMR BfC
底盤	EMR CcA
底線	EMR QgS
底薪	EMR QVQ
底蘊	EMR hXs
店主	E5S XKh
店面	E5S DgG
座位	Pli kGq
座談	Pli G3Q
庫存	eLC Pag
康泰	eqQ FOS
廂房	QpQ CpM
廉價	I4Q dnS
廉署	I4Q ZJS
廚具	LKg fKu
廚師	LKg VGQ
廚房	LKg CpM
廚藝	LKg gNW
廟宇	DiK kKt
廢棄	AUO eGW
廢水	AUO aGh
廢物	AUO DXP
廢紙	AUO XFR
廣博	dqh AqD
廣場	dqh LpQ
廣播	dqh AlC
廣義	dqh gFa
廣袤	dqh DzC
廣闊	dqh ecj
廳堂	FvQ GqQ
建國	dZe dxj
建材	dZe PTQ
建構	dZe dzC
建立	dZe I1T
建築	dZe JBD
建設	dZe agT
建議	dZe gFa
式微	awT DIM
弓箭	dBM NgS
引入	lVR c1T
引力	lVR IwT
引文	lVR DXM
引渡	lVR GLC
引用	lVR lDC
引發	lVR AZP
引證	lVR XwS
引起	lVR eHd
引述	lVR bVj
引退	lVR FSi
引領	lVR IuR
弘揚	jxg lpQ
弧形	jLA jvQ
弱勢	cpT aNS
弱智	cpT JFS
弱點	cpT E5R
強健	fpc fZe
強制	fpc XNS
強勁	fpc duW
強勢	fpc aNS
強化	fpc ini
強壯	fpc SpS
強弱	fpc cpT
強烈	fpc IgT
強盜	fpc GkS
強硬	fpc gtS
強身	fpc aVQ
彌補	DFE ALB
彎曲	hdg eDP
彎腰	hdg hiU
形制	jvQ XNS
形勢	jvQ aNS
形容	jvQ lDA
形式	jvQ awT
形態	jvQ FTS
形成	jvQ ZuQ
形狀	jvQ UpS
形象	jvQ RpR
形體	jvQ FMR
彩色	OTR VwT
彩雲	OTR kXs
影像	hsZ RpR
影印	hsZ hVW
影子	hsZ NHR
影展	hsZ JgR
影星	hsZ QvQ
影片	hsZ BfC
影迷	hsZ DMA
影響	hsZ ipd
彼此	AFJ OFR
往來	kpt ITQ
往常	kpt ZpQ
往往	kpt kpt
往昔	kpt QuT
往返	kpt AZN
征戰	XuQ XgS
征服	XuQ CBP
待遇	GTR gKu
律師	IVj VGQ
徒步	GLA CLC
徒然	GLA cgQ
得主	ExT XKh
得以	ExT lHR
得到	ExT EkS
得失	ExT aVT
得宜	ExT gFY
得悉	ExT QVT
得意	ExT hHe
得手	ExT ayB
得益	ExT huX
得體	ExT FMR
徘徊	CSA jSg
徜徉	ZpQ lpQ
御用	gJe lDC
復發	CyO AZP
循環	RVg jdg
微型	DIM jvQ
微妙	DIM DiG
微小	DIM QiR
微弱	DIM cpT
微微	DIM DIM
微服	DIM CBP
微粒	DIM I1T
微薄	DIM CqD
德育	ExT lBD
徽章	iIs XpQ
心儀	Q1Q gFY
心動	Q1Q GAB
心地	Q1Q GGS
心境	Q1Q dsZ
心底	Q1Q EMR
心弦	Q1Q jfQ
心急	Q1Q d1b
心性	Q1Q QuS
心情	Q1Q PuQ
心意	Q1Q hHe
心態	Q1Q FTS
心房	Q1Q CpM
心扉	Q1Q AIM
心智	Q1Q JFS
心機	Q1Q dIc
心理	Q1Q IHR
心疼	Q1Q GCA
心痛	Q1Q FAC
心碎	Q1Q QSi
心緒	Q1Q RJR
心聲	Q1Q auQ
心腸	Q1Q LpQ
心腹	Q1Q ABP
心血	Q1Q ifj
心跡	Q1Q NuT
心路	Q1Q ILC
心軟	Q1Q cgh
心酸	Q1Q Qcg
心醉	Q1Q NGi
心靈	Q1Q IvQ
心頭	Q1Q GzA
必備	AVH CGK
必定	AVH GvS
必然	AVH cgQ
必須/必需	AVH QKg
忌口	fHe ezB
